Dataset  : Egohumans_full-TRAIN
Timestamp: 2026-05-18_20-04
Checkpoint: models/egohumans_full/checkpoint_epoch_50.pth

                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
legoassemble_003_legoassemble_aria03_rgb-None  55.8%  55.8%  55.9%  97.9%  97.7%   2   2  0  0  13  12   7    4  94.4% 0.088   0   7   0
legoassemble_004_legoassemble_aria01_rgb-None  49.4%  49.9%  48.9%  97.2%  99.2%   2   2  0  0   7  25  10    3  95.3% 0.078   1   9   0
legoassemble_004_legoassemble_aria02_rgb-None  86.3%  86.2%  86.3%  99.7%  99.5%   2   2  0  0   5   3   3    2  99.0% 0.070   0   3   0
legoassemble_005_legoassemble_aria01_rgb-None  66.0%  67.1%  65.0%  95.4%  98.4%   2   2  0  0  11  33  12    9  92.1% 0.110   3   8   0
legoassemble_005_legoassemble_aria03_rgb-None  54.9%  56.5%  53.4%  92.2%  97.6%   2   2  0  0  13  45   6    3  88.9% 0.098   0   6   0
fencing_001_fencing_aria01_rgb-None            78.0%  78.0%  78.0% 100.0% 100.0%   2   2  0  0   0   0   2    0  99.8% 0.063   0   2   0
fencing_001_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   1   1  0  0   0   0   0    0 100.0% 0.052   0   0   0
fencing_001_fencing_aria03_rgb-None            80.0%  80.2%  79.9%  99.5%  99.9%   2   2  0  0   1   6   3    3  99.1% 0.095   0   3   0
fencing_002_fencing_aria01_rgb-None            77.4%  77.4%  77.3%  99.9% 100.0%   2   2  0  0   0   1   4    1  99.5% 0.051   0   4   0
fencing_002_fencing_aria02_rgb-None            66.6%  66.6%  66.6% 100.0% 100.0%   2   2  0  0   0   0   1    0  99.9% 0.059   0   1   0
fencing_002_fencing_aria03_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   2   2  0  0   0   0   0    0 100.0% 0.088   0   0   0
fencing_003_fencing_aria01_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   1   1  0  0   0   0   0    0 100.0% 0.033   0   0   0
fencing_003_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   2   2  0  0   0   0   0    0 100.0% 0.056   0   0   0
fencing_003_fencing_aria03_rgb-None            89.5%  89.5%  89.5% 100.0% 100.0%   2   2  0  0   0   0   1    0  99.9% 0.076   0   1   0
fencing_004_fencing_aria01_rgb-None            94.8%  94.8%  94.8%  99.6%  99.6%   2   2  0  0   2   2   2    1  98.8% 0.054   0   2   0
fencing_004_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   2   2  0  0   0   0   0    0 100.0% 0.050   0   0   0
fencing_004_fencing_aria03_rgb-None            83.9%  84.1%  83.8%  99.7% 100.0%   2   2  0  0   0   2   3    1  99.2% 0.090   0   3   0
fencing_005_fencing_aria01_rgb-None            80.9%  81.0%  80.9%  99.7%  99.7%   2   2  0  0   3   4   3    3  99.1% 0.052   0   3   0
fencing_005_fencing_aria02_rgb-None            56.6%  56.7%  56.5%  99.5%  99.8%   2   2  0  0   1   3   6    2  98.2% 0.047   0   6   0
fencing_005_fencing_aria03_rgb-None            50.0%  50.1%  49.9%  99.6% 100.0%   2   2  0  0   0   4   3    3  99.4% 0.073   0   3   0
fencing_006_fencing_aria01_rgb-None            59.9%  59.9%  59.9%  99.7%  99.8%   2   2  0  0   2   3   2    3  99.4% 0.060   0   2   0
fencing_006_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   1   1  0  0   0   0   0    0 100.0% 0.035   0   0   0
fencing_006_fencing_aria03_rgb-None            52.4%  52.8%  52.1%  98.4%  99.7%   2   2  0  0   3  19   7    4  97.6% 0.083   0   7   0
fencing_008_fencing_aria01_rgb-None            71.5%  71.5%  71.5% 100.0% 100.0%   2   2  0  0   0   0   3    0  99.7% 0.055   0   3   0
fencing_008_fencing_aria02_rgb-None            90.1%  90.0%  90.1%  99.8%  99.7%   2   2  0  0   2   1   3    1  99.0% 0.047   0   3   0
fencing_008_fencing_aria03_rgb-None            76.8%  76.8%  76.8% 100.0% 100.0%   2   2  0  0   0   0   1    0  99.9% 0.052   0   1   0
fencing_009_fencing_aria01_rgb-None            70.2%  70.1%  70.3%  99.5%  99.1%   2   2  0  0   5   3   6    1  97.5% 0.055   0   6   0
fencing_009_fencing_aria02_rgb-None            82.5%  82.6%  82.4%  99.7%  99.8%   2   2  0  0   1   2   2    1  99.2% 0.050   0   2   0
fencing_009_fencing_aria03_rgb-None            61.0%  61.0%  61.0%  99.7%  99.7%   2   2  0  0   2   2   3    1  99.1% 0.046   0   3   0
fencing_011_fencing_aria03_rgb-None            67.8%  67.2%  68.5% 100.0%  98.2%   1   1  0  0  11   0   1    0  98.0% 0.047   0   1   0
fencing_014_fencing_aria03_rgb-None            69.0%  69.1%  68.9%  99.7% 100.0%   1   1  0  0   0   1   1    1  99.4% 0.035   0   1   0
OVERALL                                        58.5%  58.7%  58.4%  98.3%  98.8% 165 164  1  0 671 983 635  392  96.0% 0.077  40 595   1
                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
