Dataset  : Egohumans_full-TRAIN
Timestamp: 2026-05-18_18-57
Checkpoint: models/egohumans_full/checkpoint_epoch_50.pth

                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
fencing_003_fencing_aria01_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   1   1  0  0   0   0   0    0 100.0% 0.033   0   0   0
fencing_003_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   2   2  0  0   0   0   0    0 100.0% 0.056   0   0   0
fencing_003_fencing_aria03_rgb-None            89.5%  89.5%  89.5% 100.0% 100.0%   2   2  0  0   0   0   1    0  99.9% 0.076   0   1   0
fencing_004_fencing_aria01_rgb-None            94.8%  94.8%  94.8%  99.6%  99.6%   2   2  0  0   2   2   1    1  99.0% 0.054   0   1   0
fencing_004_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   2   2  0  0   0   0   0    0 100.0% 0.050   0   0   0
fencing_004_fencing_aria03_rgb-None            83.9%  84.1%  83.8%  99.7% 100.0%   2   2  0  0   0   2   3    1  99.2% 0.090   0   3   0
fencing_005_fencing_aria01_rgb-None            80.9%  81.0%  80.9%  99.7%  99.7%   2   2  0  0   3   4   3    3  99.1% 0.052   0   3   0
fencing_005_fencing_aria02_rgb-None            56.6%  56.7%  56.5%  99.5%  99.8%   2   2  0  0   1   3   6    2  98.2% 0.047   0   6   0
fencing_005_fencing_aria03_rgb-None            50.0%  50.1%  49.9%  99.6% 100.0%   2   2  0  0   0   4   3    3  99.4% 0.073   0   3   0
fencing_006_fencing_aria01_rgb-None            55.2%  55.2%  55.2%  99.7%  99.7%   2   2  0  0   3   3   2    3  99.3% 0.060   1   1   0
fencing_006_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%   1   1  0  0   0   0   0    0 100.0% 0.035   0   0   0
fencing_006_fencing_aria03_rgb-None            52.4%  52.8%  52.1%  98.4%  99.7%   2   2  0  0   3  19   7    4  97.6% 0.083   0   7   0
fencing_008_fencing_aria01_rgb-None            71.5%  71.5%  71.5% 100.0% 100.0%   2   2  0  0   0   0   3    0  99.7% 0.055   0   3   0
fencing_008_fencing_aria02_rgb-None            91.7%  91.6%  91.8%  99.8%  99.7%   2   2  0  0   2   1   2    1  99.2% 0.047   0   2   0
fencing_008_fencing_aria03_rgb-None            76.8%  76.8%  76.8% 100.0% 100.0%   2   2  0  0   0   0   1    0  99.9% 0.052   0   1   0
fencing_009_fencing_aria01_rgb-None            71.1%  71.0%  71.2%  99.5%  99.1%   2   2  0  0   5   3   5    1  97.7% 0.055   0   5   0
fencing_009_fencing_aria02_rgb-None            82.5%  82.6%  82.4%  99.7%  99.8%   2   2  0  0   1   2   2    1  99.2% 0.050   0   2   0
fencing_009_fencing_aria03_rgb-None            61.0%  61.0%  61.0%  99.7%  99.7%   2   2  0  0   2   2   3    1  99.1% 0.046   0   3   0
fencing_011_fencing_aria03_rgb-None            67.8%  67.1%  68.5% 100.0%  98.0%   1   1  0  0  12   0   1    0  97.8% 0.047   0   1   0
fencing_014_fencing_aria03_rgb-None            99.8% 100.0%  99.7%  99.7% 100.0%   1   1  0  0   0   1   0    1  99.7% 0.035   0   0   0
OVERALL                                        60.0%  60.1%  59.8%  98.3%  98.8% 165 164  1  0 699 973 566  392  96.1% 0.077  43 523   1
INFO - main - MOT results saved to: results/egohumans_full_evaluation_TRAIN_reid/mot_results_Egohumans_full-TRAIN_2026-05-18_18-57.txt
INFO - track - Result:                                          idf1       idp       idr    recall  precision  ...      mota      motp  num_transfer  num_ascend  num_migrate
tagging_001_tagging_aria01_rgb-None  0.219788  0.225170  0.214656  0.944877   0.991156  ...  0.916991  0.097899             5          25            0
tagging_001_tagging_aria02_rgb-None  0.448598  0.448598  0.448598  0.983311   0.983311  ...  0.955274  0.089621             2          15            0
tagging_001_tagging_aria03_rgb-None  0.345395  0.346535  0.344262  0.984699   0.991199  ...  0.953005  0.106564             1          20            0
tagging_001_tagging_aria04_rgb-None  0.428675  0.430233  0.427128  0.981962   0.989099  ...  0.961039  0.115770             1          13            0
tagging_002_tagging_aria01_rgb-None  0.528571  0.534296  0.522968  0.975265   0.996390  ...  0.946996  0.084171             0           7            0
...                                       ...       ...       ...       ...        ...  ...       ...       ...           ...         ...          ...
fencing_009_fencing_aria02_rgb-None  0.824811  0.825503  0.824121  0.996650   0.998322  ...  0.991625  0.050037             0           2            0
fencing_009_fencing_aria03_rgb-None  0.609626  0.609626  0.609626  0.997326   0.997326  ...  0.990642  0.045758             0           3            0
fencing_011_fencing_aria03_rgb-None  0.677852  0.671096  0.684746  1.000000   0.980066  ...  0.977966  0.047174             0           1            0
fencing_014_fencing_aria03_rgb-None  0.998487  1.000000  0.996979  0.996979   1.000000  ...  0.996979  0.034725             0           0            0
OVERALL                              0.599624  0.601057  0.598198  0.983110   0.987808  ...  0.961151  0.077096            43         523            1
